@relation sonar
@attribute at1 real [0.0020, 0.137]
@attribute at2 real [0.0010, 0.234]
@attribute at3 real [0.0020, 0.306]
@attribute at4 real [0.0060, 0.426]
@attribute at5 real [0.0070, 0.401]
@attribute at6 real [0.01, 0.382]
@attribute at7 real [0.0030, 0.373]
@attribute at8 real [0.0060, 0.459]
@attribute at9 real [0.0080, 0.683]
@attribute at10 real [0.011, 0.711]
@attribute at11 real [0.029, 0.734]
@attribute at12 real [0.024, 0.706]
@attribute at13 real [0.018, 0.713]
@attribute at14 real [0.027, 0.997]
@attribute at15 real [0.0030, 1.0]
@attribute at16 real [0.016, 0.999]
@attribute at17 real [0.035, 1.0]
@attribute at18 real [0.038, 1.0]
@attribute at19 real [0.049, 1.0]
@attribute at20 real [0.066, 1.0]
@attribute at21 real [0.051, 1.0]
@attribute at22 real [0.022, 1.0]
@attribute at23 real [0.056, 1.0]
@attribute at24 real [0.024, 1.0]
@attribute at25 real [0.024, 1.0]
@attribute at26 real [0.092, 1.0]
@attribute at27 real [0.048, 1.0]
@attribute at28 real [0.028, 1.0]
@attribute at29 real [0.014, 1.0]
@attribute at30 real [0.061, 1.0]
@attribute at31 real [0.048, 0.966]
@attribute at32 real [0.04, 0.931]
@attribute at33 real [0.048, 1.0]
@attribute at34 real [0.021, 0.965]
@attribute at35 real [0.022, 1.0]
@attribute at36 real [0.0080, 1.0]
@attribute at37 real [0.035, 0.95]
@attribute at38 real [0.038, 1.0]
@attribute at39 real [0.037, 0.986]
@attribute at40 real [0.012, 0.93]
@attribute at41 real [0.036, 0.9]
@attribute at42 real [0.0060, 0.825]
@attribute at43 real [0.0, 0.773]
@attribute at44 real [0.0, 0.776]
@attribute at45 real [0.0, 0.703]
@attribute at46 real [0.0, 0.729]
@attribute at47 real [0.0, 0.552]
@attribute at48 real [0.0, 0.334]
@attribute at49 real [0.0, 0.198]
@attribute at50 real [0.0, 0.082]
@attribute at51 real [0.0, 0.1]
@attribute at52 real [0.0010, 0.071]
@attribute at53 real [0.0, 0.039]
@attribute at54 real [0.0010, 0.035]
@attribute at55 real [0.0010, 0.045]
@attribute at56 real [0.0, 0.039]
@attribute at57 real [0.0, 0.036]
@attribute at58 real [0.0, 0.044]
@attribute at59 real [0.0, 0.036]
@attribute at60 real [0.0010, 0.044]
@attribute class {R, M}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19, at20, at21, at22, at23, at24, at25, at26, at27, at28, at29, at30, at31, at32, at33, at34, at35, at36, at37, at38, at39, at40, at41, at42, at43, at44, at45, at46, at47, at48, at49, at50, at51, at52, at53, at54, at55, at56, at57, at58, at59, at60
@outputs class
@data
0.02, 0.042, 0.055, 0.078, 0.062, 0.087, 0.12, 0.271, 0.121, 0.028, 0.225, 0.262, 0.177, 0.371, 0.453, 0.555, 0.462, 0.38, 0.345, 0.266, 0.24, 0.113, 0.256, 0.517, 0.378, 0.408, 0.535, 0.512, 0.454, 0.426, 0.387, 0.394, 0.466, 0.397, 0.219, 0.182, 0.102, 0.211, 0.325, 0.37, 0.291, 0.301, 0.256, 0.193, 0.206, 0.175, 0.084, 0.104, 0.064, 0.015, 0.0080, 0.019, 0.018, 0.016, 0.029, 0.0090, 0.024, 0.022, 0.019, 0.01, M
0.059, 0.121, 0.127, 0.15, 0.144, 0.056, 0.083, 0.067, 0.137, 0.235, 0.321, 0.426, 0.52, 0.491, 0.595, 0.722, 0.904, 0.911, 0.872, 0.769, 0.733, 0.522, 0.31, 0.317, 0.227, 0.164, 0.175, 0.184, 0.205, 0.167, 0.277, 0.31, 0.34, 0.444, 0.505, 0.281, 0.168, 0.263, 0.32, 0.193, 0.093, 0.044, 0.078, 0.072, 0.04, 0.055, 0.108, 0.114, 0.077, 0.026, 0.022, 0.033, 0.011, 0.0090, 0.016, 0.012, 0.0040, 0.01, 0.023, 0.012, M
0.016, 0.025, 0.026, 0.039, 0.064, 0.047, 0.106, 0.139, 0.06, 0.133, 0.297, 0.475, 0.568, 0.569, 0.642, 0.749, 0.9, 1.0, 0.969, 0.903, 0.768, 0.7, 0.664, 0.596, 0.371, 0.092, 0.048, 0.088, 0.104, 0.171, 0.326, 0.461, 0.394, 0.505, 0.483, 0.351, 0.232, 0.403, 0.368, 0.151, 0.074, 0.14, 0.155, 0.038, 0.064, 0.044, 0.026, 0.022, 0.019, 0.0080, 0.014, 0.0070, 0.0080, 0.023, 0.02, 0.0070, 0.0040, 0.01, 0.0050, 0.0020, M
0.016, 0.0040, 0.024, 0.044, 0.063, 0.092, 0.137, 0.108, 0.155, 0.178, 0.216, 0.257, 0.309, 0.383, 0.439, 0.534, 0.6, 0.673, 0.731, 0.809, 0.894, 0.967, 1.0, 0.989, 0.938, 0.899, 0.918, 0.913, 0.781, 0.602, 0.376, 0.33, 0.228, 0.021, 0.112, 0.179, 0.237, 0.284, 0.224, 0.272, 0.336, 0.255, 0.187, 0.216, 0.128, 0.077, 0.107, 0.095, 0.064, 0.023, 0.013, 0.017, 0.014, 0.011, 0.0060, 0.016, 0.0090, 0.0040, 0.0050, 0.0030, M
0.052, 0.094, 0.062, 0.042, 0.1, 0.243, 0.178, 0.202, 0.261, 0.129, 0.265, 0.278, 0.443, 0.367, 0.204, 0.276, 0.325, 0.154, 0.278, 0.351, 0.519, 0.705, 0.714, 0.681, 0.51, 0.531, 0.613, 0.839, 0.903, 0.861, 0.966, 0.917, 0.713, 0.69, 0.731, 0.413, 0.158, 0.182, 0.138, 0.296, 0.694, 0.825, 0.535, 0.44, 0.645, 0.621, 0.302, 0.138, 0.036, 0.036, 0.046, 0.043, 0.027, 0.015, 0.012, 0.013, 0.0020, 0.011, 0.0070, 0.0080, M
0.021, 0.028, 0.012, 0.044, 0.043, 0.077, 0.146, 0.143, 0.189, 0.185, 0.175, 0.156, 0.148, 0.138, 0.258, 0.383, 0.478, 0.536, 0.619, 0.791, 0.926, 1.0, 0.908, 0.744, 0.556, 0.317, 0.13, 0.06, 0.272, 0.362, 0.329, 0.486, 0.394, 0.184, 0.034, 0.249, 0.384, 0.351, 0.265, 0.176, 0.16, 0.087, 0.059, 0.081, 0.049, 0.042, 0.05, 0.037, 0.012, 0.012, 0.013, 0.01, 0.0010, 0.0050, 0.0040, 0.0030, 0.0080, 0.0050, 0.0020, 0.0010, M
0.0050, 0.0060, 0.0080, 0.055, 0.088, 0.128, 0.167, 0.137, 0.292, 0.347, 0.326, 0.326, 0.23, 0.125, 0.21, 0.24, 0.193, 0.167, 0.123, 0.09, 0.156, 0.329, 0.527, 0.674, 0.791, 0.894, 0.94, 0.949, 0.904, 0.915, 0.883, 0.809, 0.718, 0.672, 0.645, 0.688, 0.624, 0.494, 0.414, 0.424, 0.455, 0.439, 0.432, 0.492, 0.471, 0.32, 0.224, 0.181, 0.099, 0.025, 0.013, 0.01, 0.013, 0.0070, 0.0040, 0.0070, 0.0060, 0.0040, 0.0, 0.0030, M
0.014, 0.03, 0.012, 0.0080, 0.024, 0.025, 0.028, 0.013, 0.049, 0.087, 0.11, 0.108, 0.109, 0.102, 0.06, 0.091, 0.131, 0.276, 0.366, 0.527, 0.581, 0.618, 0.588, 0.464, 0.542, 0.737, 0.909, 1.0, 0.825, 0.544, 0.335, 0.088, 0.16, 0.417, 0.658, 0.739, 0.796, 0.749, 0.68, 0.471, 0.236, 0.17, 0.273, 0.402, 0.412, 0.347, 0.274, 0.179, 0.092, 0.028, 0.017, 0.0080, 0.0040, 0.0020, 0.0040, 0.0060, 0.0070, 0.0040, 0.0040, 0.0030, M
0.029, 0.012, 0.012, 0.011, 0.05, 0.1, 0.133, 0.112, 0.298, 0.347, 0.423, 0.504, 0.524, 0.44, 0.324, 0.296, 0.329, 0.323, 0.453, 0.634, 0.704, 0.831, 0.845, 0.851, 0.914, 0.998, 1.0, 0.754, 0.466, 0.392, 0.385, 0.467, 0.424, 0.31, 0.075, 0.288, 0.407, 0.317, 0.286, 0.263, 0.054, 0.187, 0.346, 0.465, 0.437, 0.258, 0.132, 0.05, 0.011, 0.0060, 0.0040, 0.0060, 0.01, 0.0080, 0.0010, 0.0050, 0.0020, 0.0010, 0.0080, 0.0040, M
0.016, 0.024, 0.015, 0.049, 0.099, 0.142, 0.146, 0.122, 0.17, 0.192, 0.236, 0.272, 0.305, 0.299, 0.223, 0.174, 0.246, 0.31, 0.357, 0.428, 0.427, 0.374, 0.458, 0.609, 0.722, 0.76, 0.871, 1.0, 0.982, 0.719, 0.585, 0.419, 0.376, 0.326, 0.194, 0.139, 0.167, 0.128, 0.167, 0.257, 0.226, 0.278, 0.161, 0.134, 0.198, 0.123, 0.155, 0.106, 0.049, 0.01, 0.022, 0.012, 0.011, 0.0060, 0.0030, 0.0080, 0.0030, 0.0050, 0.0020, 0.0020, M
0.026, 0.036, 0.014, 0.027, 0.021, 0.034, 0.066, 0.14, 0.184, 0.235, 0.272, 0.244, 0.166, 0.034, 0.13, 0.171, 0.218, 0.318, 0.371, 0.455, 0.57, 0.74, 0.806, 0.884, 0.943, 1.0, 0.938, 0.76, 0.712, 0.836, 0.762, 0.457, 0.172, 0.155, 0.164, 0.187, 0.266, 0.171, 0.096, 0.077, 0.085, 0.208, 0.25, 0.186, 0.144, 0.147, 0.099, 0.0040, 0.015, 0.012, 0.018, 0.015, 0.013, 0.0050, 0.0040, 0.0060, 0.0040, 0.0040, 0.0060, 0.012, M
